"m","continent","count"
1,"Africa",947
1,"Asia",1001
1,"Europe",245
1,"North America",783
1,"Oceania",154
1,"South America",1478
2,"Africa",897
2,"Asia",705
2,"Europe",187
2,"North America",1511
2,"Oceania",173
2,"South America",1179
3,"Africa",1229
3,"Asia",2422
3,"Europe",707
3,"North America",1627
3,"Oceania",133
3,"South America",1336
4,"Africa",960
4,"Asia",3573
4,"Europe",1447
4,"North America",2874
4,"Oceania",72
4,"South America",1153
5,"Africa",1146
5,"Asia",5387
5,"Europe",3497
5,"North America",4279
5,"Oceania",36
5,"South America",715
6,"Africa",1075
6,"Asia",5699
6,"Europe",6003
6,"North America",9313
6,"Oceania",23
6,"South America",519
7,"Africa",1320
7,"Asia",6061
7,"Europe",6704
7,"North America",9310
7,"Oceania",17
7,"South America",655
8,"Africa",1309
8,"Asia",5413
8,"Europe",3874
8,"North America",7611
8,"Oceania",28
8,"South America",856
9,"Africa",1572
9,"Asia",4455
9,"Europe",1700
9,"North America",3499
9,"Oceania",54
9,"South America",902
10,"Africa",1634
10,"Asia",3228
10,"Europe",761
10,"North America",1799
10,"Oceania",80
10,"South America",1590
11,"Africa",1229
11,"Asia",1849
11,"Europe",688
11,"North America",769
11,"Oceania",216
11,"South America",1696
12,"Africa",1068
12,"Asia",1001
12,"Europe",441
12,"North America",745
12,"Oceania",236
12,"South America",1564
